sample_id_2020,area,area_sub,year,habitat,depth,species,max_n,sampling_period,latitude,longitude,sample_id_2017
1,HERMANUS,FRANSKRAAL,2016,REEF,18,Cheilodactylus fasciatus,1,Spring_2016,-34.636668,19.322543,22
1,HERMANUS,FRANSKRAAL,2016,REEF,18,Chrysoblephus laticeps,3,Spring_2016,-34.636668,19.322543,22
1,HERMANUS,FRANSKRAAL,2016,REEF,18,Eptatretus hexatrema,1,Spring_2016,-34.636668,19.322543,22
1,HERMANUS,FRANSKRAAL,2016,REEF,18,Galeichthys feliceps,2,Spring_2016,-34.636668,19.322543,22
1,HERMANUS,FRANSKRAAL,2016,REEF,18,Haploblepharus pictus,3,Spring_2016,-34.636668,19.322543,22
1,HERMANUS,FRANSKRAAL,2016,REEF,18,Pachymetopon blochii,7,Spring_2016,-34.636668,19.322543,22
1,HERMANUS,FRANSKRAAL,2016,REEF,18,Poroderma africanum,2,Spring_2016,-34.636668,19.322543,22
1,HERMANUS,FRANSKRAAL,2016,REEF,18,Poroderma pantherinum,1,Spring_2016,-34.636668,19.322543,22
1,HERMANUS,FRANSKRAAL,2016,REEF,18,Sarpa salpa,1,Spring_2016,-34.636668,19.322543,22
1,HERMANUS,FRANSKRAAL,2016,REEF,22,Galeichthys feliceps,1,Spring_2016,-34.628033,19.371857,21
1,HERMANUS,FRANSKRAAL,2016,REEF,22,Haploblepharus edwardsii,1,Spring_2016,-34.628033,19.371857,21
1,HERMANUS,FRANSKRAAL,2016,REEF,22,Pachymetopon blochii,1,Spring_2016,-34.628033,19.371857,21
1,HERMANUS,FRANSKRAAL,2016,REEF,22,Poroderma pantherinum,1,Spring_2016,-34.628033,19.371857,21
1,HERMANUS,GANSBAAI,2016,REEF,16,Cheilodactylus fasciatus,1,Winter_2016,-34.58799,19.32969,24
1,HERMANUS,GANSBAAI,2016,REEF,16,Chrysoblephus laticeps,2,Winter_2016,-34.58799,19.32969,24
1,HERMANUS,GANSBAAI,2016,REEF,16,Haploblepharus edwardsii,5,Winter_2016,-34.58799,19.32969,24
1,HERMANUS,GANSBAAI,2016,REEF,16,Kyphosus bigibbus,2,Winter_2016,-34.58799,19.32969,24
1,HERMANUS,GANSBAAI,2016,REEF,16,Poroderma africanum,1,Winter_2016,-34.58799,19.32969,24
1,HERMANUS,GANSBAAI,2016,REEF,16,Poroderma pantherinum,1,Winter_2016,-34.58799,19.32969,24
1,HERMANUS,GANSBAAI,2016,REEF,23,Chrysoblephus laticeps,3,Winter_2016,-34.5746,19.3331,35
1,HERMANUS,GANSBAAI,2016,REEF,23,Eptatretus hexatrema,1,Winter_2016,-34.5746,19.3331,35
