Area,Sample_number,Survey_sampleID,Latitude,Longitude,Depth,Family,Species,MaxN,Habitat,Habitat2,Year,Sampling_period
DYER,1,1,-34.67448,19.41784,11.1,Clinidae,Clinus superciliosus,2,Reef,Barrens,2015,Autumn_2015
DYER,1,1,-34.67448,19.41784,11.1,Ariidae,Galeichthys ater,1,Reef,Barrens,2015,Autumn_2015
DYER,1,1,-34.67448,19.41784,11.1,Scyliorhinidae,Haploblepharus edwardsii,2,Reef,Barrens,2015,Autumn_2015
DYER,1,1,-34.67448,19.41784,11.1,Scyliorhinidae,Haploblepharus pictus,1,Reef,Barrens,2015,Autumn_2015
DYER,1,1,-34.67448,19.41784,11.1,Triakidae,Mustelus mustelus,1,Reef,Barrens,2015,Autumn_2015
DYER,1,1,-34.67448,19.41784,11.1,Sparidae,Pachymetopon blochii,1,Reef,Barrens,2015,Autumn_2015
DYER,1,1,-34.67448,19.41784,11.1,Scyliorhinidae,Poroderma africanum,2,Reef,Barrens,2015,Autumn_2015
DYER,1,1,-34.67448,19.41784,11.1,Scyliorhinidae,Poroderma pantherinum,3,Reef,Barrens,2015,Autumn_2015
DYER,1,1,-34.67448,19.41784,11.1,Sparidae,Spondyliosoma emarginatum,12,Reef,Barrens,2015,Autumn_2015
DYER,2,2,-34.67741,19.44967,4.6,Clinidae,Clinus superciliosus,4,Reef,Barrens,2015,Autumn_2015
DYER,2,2,-34.67741,19.44967,4.6,Scyliorhinidae,Poroderma pantherinum ,1,Reef,Barrens,2015,Autumn_2015
DYER,2,2,-34.67741,19.44967,4.6,Sparidae,Rhabdosargus globiceps,1,Reef,Barrens,2015,Autumn_2015
DYER,2,2,-34.67741,19.44967,4.6,Sparidae,Spondyliosoma emarginatum,5,Reef,Barrens,2015,Autumn_2015
DYER,3,3,-34.67801,19.4011,12,Cheilodactylidae,Cheilodactylus fasciatus,1,Reef,Barrens,2015,Autumn_2015
DYER,3,3,-34.67801,19.4011,12,Clinidae,Clinus superciliosus,1,Reef,Barrens,2015,Autumn_2015
DYER,3,3,-34.67801,19.4011,12,Ariidae,Galeichthys ater,2,Reef,Barrens,2015,Autumn_2015
DYER,3,3,-34.67801,19.4011,12,Triakidae,Galeorhinus galeus,2,Reef,Barrens,2015,Autumn_2015
DYER,3,3,-34.67801,19.4011,12,Scyliorhinidae,Haploblepharus edwardsii,3,Reef,Barrens,2015,Autumn_2015
DYER,3,3,-34.67801,19.4011,12,Sparidae,Pachymetopon blochii,4,Reef,Barrens,2015,Autumn_2015
DYER,3,3,-34.67801,19.4011,12,Scyliorhinidae,Poroderma africanum,2,Reef,Barrens,2015,Autumn_2015
DYER,3,3,-34.67801,19.4011,12,Scyliorhinidae,Poroderma pantherinum ,4,Reef,Barrens,2015,Autumn_2015
DYER,3,3,-34.67801,19.4011,12,Sparidae,Spondyliosoma emarginatum,3,Reef,Barrens,2015,Autumn_2015
DYER,4,4,-34.68952,19.39391,15,Cheilodactylidae,Cheilodactylus fasciatus,2,Reef,Reef,2015,Autumn_2015
DYER,4,4,-34.68952,19.39391,15,Sparidae,Chrysoblephus gibbiceps,1,Reef,Reef,2015,Autumn_2015
DYER,4,4,-34.68952,19.39391,15,Sparidae,Chrysoblephus laticeps,1,Reef,Reef,2015,Autumn_2015
DYER,4,4,-34.68952,19.39391,15,Clinidae,Clinus superciliosus,1,Reef,Reef,2015,Autumn_2015
DYER,4,4,-34.68952,19.39391,15,Myxinidae,Eptatretus hexatrema,1,Reef,Reef,2015,Autumn_2015
DYER,4,4,-34.68952,19.39391,15,Ariidae,Galeichthys feliceps,7,Reef,Reef,2015,Autumn_2015
DYER,4,4,-34.68952,19.39391,15,ÊTriakidae,Galeorhinus galeus,2,Reef,Reef,2015,Autumn_2015
DYER,4,4,-34.68952,19.39391,15,Scyliorhinidae,Haploblepharus edwardsii,1,Reef,Reef,2015,Autumn_2015
DYER,4,4,-34.68952,19.39391,15,Sparidae,Pachymetopon blochii,5,Reef,Reef,2015,Autumn_2015
DYER,4,4,-34.68952,19.39391,15,Scyliorhinidae,Poroderma africanum,3,Reef,Reef,2015,Autumn_2015
DYER,4,4,-34.68952,19.39391,15,Scyliorhinidae,Poroderma pantherinum,2,Reef,Reef,2015,Autumn_2015
DYER,4,4,-34.68952,19.39391,15,Scyliorhinidae,Poroderma pantherinum,1,Reef,Reef,2015,Autumn_2015
DYER,4,4,-34.68952,19.39391,15,Sparidae,Pterogymnus laniarius,1,Reef,Reef,2015,Autumn_2015
DYER,4,4,-34.68952,19.39391,15,Carangidae,Seriola lalandii,1,Reef,Reef,2015,Autumn_2015
DYER,4,4,-34.68952,19.39391,15,Sparidae,Spondyliosoma emarginatum,3,Reef,Reef,2015,Autumn_2015
DYER,5,5,-34.6954,19.3949,21.9,Cheilodactylidae,Chirodactylus brachydactylus,2,Reef,Reef,2015,Autumn_2015
DYER,5,5,-34.6954,19.3949,21.9,Sparidae,Chrysoblephus gibbiceps,1,Reef,Reef,2015,Autumn_2015
DYER,5,5,-34.6954,19.3949,21.9,Sparidae,Chrysoblephus laticeps,4,Reef,Reef,2015,Autumn_2015
DYER,5,5,-34.6954,19.3949,21.9,Ariidae,Galeichthys ater,6,Reef,Reef,2015,Autumn_2015
DYER,5,5,-34.6954,19.3949,21.9,Sparidae,Gymnocrotaphus curvidens,1,Reef,Reef,2015,Autumn_2015
