File_name,SASC_Sample_number,Site_name,Sample_ID,lat,lon,FOV,Common_name,Species,ToFS_clip,ToFS_totalvideo,Time_MaxN_minutes,MaxN,Depth_m,Habitat,Date,Year,Sampling_period
3-Oct-13,1,Bientangs Cave Cliff,1_Bientangs Cave Cliff_Spring_2013,-34.4195,19.245,100,Bluntnose Klipfish,Clinus cottoides,27.00min,,27.00min,1,4,Kelp,3-Oct-13,2013,Spring_2013
3-Oct-13,1,Bientangs Cave Cliff,1_Bientangs Cave Cliff_Spring_2013,-34.4195,19.245,100,Bluntnose Klipfish,Clinus cottoides,33.50min,,33.50min,1,4,Kelp,3-Oct-13,2013,Spring_2013
3-Oct-13,1,Bientangs Cave Cliff,1_Bientangs Cave Cliff_Spring_2013,-34.4195,19.245,100,Zebra Fish,Diplodus hotentotus,13.58min,,13.58min_,1,4,Kelp,3-Oct-13,2013,Spring_2013
3-Oct-13,1,Bientangs Cave Cliff,1_Bientangs Cave Cliff_Spring_2013,-34.4195,19.245,100,Dark shyshark,Haploblepharus pictus,13.04min,,13.04min,1,4,Kelp,3-Oct-13,2013,Spring_2013
3-Oct-13,1,Bientangs Cave Cliff,1_Bientangs Cave Cliff_Spring_2013,-34.4195,19.245,100,Dark shyshark,Haploblepharus pictus,14.16min,,14.16min,1,4,Kelp,3-Oct-13,2013,Spring_2013
3-Oct-13,1,Bientangs Cave Cliff,1_Bientangs Cave Cliff_Spring_2013,-34.4195,19.245,100,Dark shyshark,Haploblepharus pictus,20.05min,,20.05min_,1,4,Kelp,3-Oct-13,2013,Spring_2013
3-Oct-13,1,Bientangs Cave Cliff,1_Bientangs Cave Cliff_Spring_2013,-34.4195,19.245,100,Dark shyshark,Haploblepharus pictus,29.25min,,29.25min,1,4,Kelp,3-Oct-13,2013,Spring_2013
3-Oct-13,1,Bientangs Cave Cliff,1_Bientangs Cave Cliff_Spring_2013,-34.4195,19.245,100,Dark shyshark,Haploblepharus pictus,50.54min,,52.37min,1,4,Kelp,3-Oct-13,2013,Spring_2013
3-Oct-13,1,Bientangs Cave Cliff,1_Bientangs Cave Cliff_Spring_2013,-34.4195,19.245,100,White Stubnose,Rhabdosargus globiceps,7.42m,,7.42min,1,4,Kelp,3-Oct-13,2013,Spring_2013
3-Oct-13,1,Bientangs Cave Cliff,1_Bientangs Cave Cliff_Spring_2013,-34.4195,19.245,100,Strepie,Sarpa salpa,52.20min_,,52.20min,1,4,Kelp,3-Oct-13,2013,Spring_2013
3-Oct-13,1,Bientangs Cave Cliff,1_Bientangs Cave Cliff_Spring_2013,-34.4195,19.245,100,Strepie,Sarpa salpa,56.60min,,56.60min,1,4,Kelp,3-Oct-13,2013,Spring_2013
3-Oct-13,1,Bientangs Cave Cliff,1_Bientangs Cave Cliff_Spring_2013,-34.4195,19.245,100,Zebra Fish,Diplodus hotentotus,14.16min,,14.16min,2,4,Kelp,3-Oct-13,2013,Spring_2013
3-Oct-13,1,Bientangs Cave Cliff,1_Bientangs Cave Cliff_Spring_2013,-34.4195,19.245,100,Strepie,Sarpa salpa,7.10min,,7.12min,6,4,Kelp,3-Oct-13,2013,Spring_2013
